COMMENT: /* *Hallo* */
COMMENT: /*****/
KEY: int
ID: gcd
SYMBOL: (
KEY: int
ID: u
SYMBOL: ,
KEY: int
ID: v
SYMBOL: )
SYMBOL: {
KEY: if
SYMBOL: (
ID: v
SYMBOL: EQ
NUM: 0
SYMBOL: )
KEY: return
ID: u
SYMBOL: ;
KEY: else
KEY: return
ID: gcd
SYMBOL: (
ID: v
SYMBOL: ,
ID: u
SYMBOL: -
ID: u
SYMBOL: /
ID: v
SYMBOL: *
ID: v
SYMBOL: )
SYMBOL: ;
SYMBOL: }
KEY: void
ID: main
SYMBOL: (
KEY: void
SYMBOL: )
SYMBOL: {
KEY: int
ID: x
SYMBOL: ;
KEY: int
ID: y
SYMBOL: ;
ID: x
SYMBOL: =
ID: input
SYMBOL: (
SYMBOL: )
SYMBOL: ;
ID: y
SYMBOL: =
ID: input
SYMBOL: (
SYMBOL: )
SYMBOL: ;
ID: output
SYMBOL: (
ID: gcd
SYMBOL: (
ID: x
SYMBOL: ,
ID: y
SYMBOL: )
SYMBOL: )
SYMBOL: ;
SYMBOL: }
